Date,Spend,Impressions,CPM,Clicks,CPC,CTR,Acquisitions,CPA,CR,Age,Gender,Targeting,Image,Copy,Bid Type,Placement
6/15/15,21.83,6399,3.411470542,14,1.559285714,0.002187842,0,0,0,18-24,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/15/15,70.79,19915,3.55460708,43,1.64627907,0.002159177,4,17.6975,0.093023256,25-34,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/14/15,17.53,3203,5.472994068,1,17.53,0.000312207,1,17.53,1,45-54,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/14/15,1.76,509,3.457760314,2,0.88,0.003929273,0,0,0,65+,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/14/15,5.99,1236,4.846278317,1,5.99,0.000809061,0,0,0,45-54,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/14/15,30.89,5647,5.470161148,3,10.29666667,0.000531256,1,30.89,0.333333333,35-44,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/14/15,28.68,7305,3.926078029,23,1.246956522,0.003148528,2,14.34,0.086956522,35-44,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/14/15,33.6,8731,3.848356431,22,1.527272727,0.002519757,1,33.6,0.045454545,25-34,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/14/15,9.9,2685,3.687150838,6,1.65,0.002234637,0,0,0,18-24,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/14/15,0.14,78,1.794871795,0,0,0,0,0,0,45-54,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/14/15,0.72,394,1.827411168,1,0.72,0.002538071,0,0,0,35-44,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/14/15,10.32,2582,3.996901627,7,1.474285714,0.002711077,0,0,0,45-54,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/14/15,3,1629,1.841620626,1,3,0.000613874,1,3,1,25-34,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/14/15,48.86,8888,5.49729973,4,12.215,0.000450045,2,24.43,0.5,25-34,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
